ts,spot,vwap_spot,pcr,maxpain,dist_to_mp,atr_d,vnd,mph_pts_per_hr,mph_norm,atm,atm_iv,dpcr_z,iv_z,scenario
2025-08-28T09:18:20.995132+05:30,53994.7,nan,0.429,55000,-1005.3,406.4,2.47,nan,nan,54000,24.79,0.0,0.0,Short-cover reversion up
2025-08-28T09:28:18.937727+05:30,53977.4,nan,0.501,54500,-522.6,457.7,1.14,nan,nan,54000,23.24,0.0,0.0,Short-cover reversion up
2025-08-28T09:32:19.642521+05:30,53928.05,nan,0.518,54500,-571.9,465.4,1.23,nan,nan,53900,21.54,0.0,0.0,Short-cover reversion up
2025-08-28T09:36:19.852003+05:30,53968.75,nan,0.522,54400,-431.2,466.2,0.93,-2700.0,-5.79,54000,21.04,0.0,0.0,Short-cover reversion up
2025-08-28T09:40:20.005065+05:30,54175.15,nan,0.523,54300,-124.8,466.2,0.27,-2250.0,-4.83,54200,25.07,0.0,0.0,Short-cover reversion up
2025-08-28T09:44:20.144174+05:30,54061.45,nan,0.548,54500,-438.6,466.2,0.94,-1371.4,-2.94,54100,22.38,0.07,-0.93,Short-cover reversion up
2025-08-28T09:48:20.327708+05:30,54061.6,nan,0.553,54500,-438.4,466.2,0.94,-910.7,-1.95,54100,21.78,-0.64,-0.05,Short-cover reversion up
2025-08-28T11:59:59.700341+05:30,54170.25,nan,0.752,54400,-229.8,466.2,0.49,-767.9,-1.65,54200,20.47,2.3,-0.34,Short-cover reversion up
2025-08-28T12:03:59.913929+05:30,54150.2,nan,0.755,54400,-249.8,466.2,0.54,-650.0,-1.39,54200,19.64,-0.59,-0.1,Short-cover reversion up
2025-08-28T12:08:00.534251+05:30,54206.0,nan,0.747,54400,-194.0,466.2,0.42,-554.5,-1.19,54200,20.16,-0.71,0.57,Short-cover reversion up
2025-08-28T12:12:01.305964+05:30,54187.95,nan,0.746,54400,-212.1,466.2,0.45,-477.3,-1.02,54200,21.72,-0.54,1.02,Short-cover reversion up
2025-08-28T12:16:01.459675+05:30,54195.35,nan,0.746,54400,-204.7,466.2,0.44,-414.3,-0.89,54200,21.64,-0.51,0.12,Short-cover reversion up
2025-08-28T12:20:01.721632+05:30,54153.8,nan,0.742,54400,-246.2,466.2,0.53,-362.6,-0.78,54200,20.24,-0.54,-0.6,Short-cover reversion up
2025-08-28T12:24:01.930655+05:30,54108.85,nan,0.742,54300,-191.2,466.2,0.41,-362.6,-0.78,54100,22.41,-0.43,1.33,Short-cover reversion up
