ts,spot,vwap_spot,pcr,maxpain,dist_to_mp,atr_d,vnd,mph_pts_per_hr,mph_norm,atm,atm_iv,dpcr_z,iv_z,scenario
2025-08-29T14:01:19.550208+05:30,12503.6,nan,1.296,12600,-96.4,163.0,0.59,nan,nan,12500,15.78,0.0,0.0,Bear migration
2025-08-29T14:02:19.561973+05:30,12502.1,nan,1.294,12600,-97.9,163.0,0.6,nan,nan,12500,15.87,0.0,0.0,Bear migration
2025-08-29T14:03:25.930011+05:30,12497.4,nan,1.294,12600,-102.6,163.0,0.63,nan,nan,12500,15.93,0.0,0.0,Bear migration
2025-08-29T14:04:19.168152+05:30,12500.3,nan,1.284,12600,-99.7,163.0,0.61,0.0,0.0,12500,16.02,0.0,0.0,Bear migration
2025-08-29T14:05:20.311647+05:30,12502.75,nan,1.284,12600,-97.2,163.0,0.6,-0.0,-0.0,12500,15.85,0.0,0.0,Bear migration
2025-08-29T14:06:20.026401+05:30,12497.5,nan,1.285,12600,-102.5,163.0,0.63,-0.0,-0.0,12500,15.81,0.6,-0.52,Bear migration
2025-08-29T14:07:21.624803+05:30,12502.75,nan,1.285,12600,-97.2,163.0,0.6,0.0,0.0,12500,15.78,0.63,-0.26,Bear migration
2025-08-29T14:08:21.802796+05:30,12504.95,nan,1.285,12600,-95.0,163.0,0.58,-0.0,-0.0,12500,15.81,0.32,0.25,Bear migration
2025-08-29T14:09:22.105807+05:30,12512.55,nan,1.284,12600,-87.5,163.0,0.54,0.0,0.0,12525,15.75,0.33,-0.71,Bear migration
2025-08-29T14:10:22.365462+05:30,12512.95,nan,1.283,12600,-87.0,163.0,0.53,0.0,0.0,12525,15.86,0.02,1.22,Bear migration
2025-08-29T14:11:22.461746+05:30,12517.45,nan,1.283,12600,-82.5,163.0,0.51,0.0,0.0,12525,16.0,0.61,1.29,Bear migration
2025-08-29T14:12:22.858137+05:30,12515.6,nan,1.284,12600,-84.4,163.0,0.52,-0.0,-0.0,12525,15.84,0.52,-1.6,Bear migration
2025-08-29T14:13:22.996972+05:30,12521.15,nan,1.279,12600,-78.9,163.0,0.48,0.0,0.0,12525,15.86,-1.01,0.09,Bear migration
2025-08-29T14:14:23.296666+05:30,12522.1,nan,1.28,12600,-77.9,163.0,0.48,-0.0,-0.0,12525,15.88,0.66,0.17,Bear migration
2025-08-29T14:15:23.621273+05:30,12518.25,nan,1.279,12600,-81.8,163.0,0.5,0.0,0.0,12525,15.85,0.05,-0.48,Bear migration
2025-08-29T14:16:22.654103+05:30,12520.8,nan,1.279,12600,-79.2,163.0,0.49,0.0,0.0,12525,15.86,0.41,0.05,Bear migration
2025-08-29T14:17:24.236897+05:30,12523.6,nan,1.28,12600,-76.4,163.0,0.47,0.0,0.0,12525,15.91,0.75,0.59,Bear migration
2025-08-29T14:18:24.283289+05:30,12517.6,nan,1.28,12600,-82.4,163.0,0.51,0.0,0.0,12525,15.93,0.44,0.07,Bear migration
2025-08-29T14:19:24.491281+05:30,12515.4,nan,1.281,12600,-84.6,163.0,0.52,0.0,0.0,12525,15.89,0.89,-0.59,Bear migration
2025-08-29T14:20:24.767933+05:30,12515.7,nan,1.28,12600,-84.3,163.0,0.52,-0.0,-0.0,12525,15.91,-0.27,0.17,Bear migration
2025-08-29T14:21:25.167289+05:30,12519.95,nan,1.281,12600,-80.0,163.0,0.49,-0.0,-0.0,12525,16.08,0.67,1.93,Bear migration
2025-08-29T14:22:25.365539+05:30,12518.25,nan,1.281,12600,-81.8,163.0,0.5,-0.0,-0.0,12525,16.08,0.19,-0.23,Bear migration
