ts,spot,vwap_spot,pcr,maxpain,dist_to_mp,atr_d,vnd,mph_pts_per_hr,mph_norm,atm,atm_iv,dpcr_z,iv_z,scenario
2025-08-28T09:18:23.914493+05:30,24578.95,nan,0.58,24800,-221.0,127.1,1.74,nan,nan,24600,21.38,0.0,0.0,Pin & decay day (IV crush)
2025-08-28T09:28:20.107939+05:30,24535.35,nan,0.579,24600,-64.7,188.3,0.34,nan,nan,24550,18.75,0.0,0.0,Pin & decay day (IV crush)
2025-08-28T09:32:20.271850+05:30,24515.5,nan,0.588,24600,-84.5,188.3,0.45,nan,nan,24500,17.95,0.0,0.0,Pin & decay day (IV crush)
2025-08-28T09:36:20.494105+05:30,24528.4,nan,0.575,24600,-71.6,195.5,0.37,-900.0,-4.6,24550,17.3,0.0,0.0,Pin & decay day (IV crush)
2025-08-28T09:40:20.624436+05:30,24573.95,nan,0.565,24600,-26.0,195.5,0.13,-600.0,-3.07,24550,18.34,0.0,0.0,Pin & decay day (IV crush)
2025-08-28T09:44:20.763516+05:30,24566.1,nan,0.623,24600,-33.9,195.5,0.17,-428.6,-2.19,24550,17.33,1.91,-0.17,Pin & decay day (IV crush)
2025-08-28T09:48:20.962342+05:30,24567.6,nan,0.633,24600,-32.4,195.5,0.17,-321.4,-1.64,24550,17.08,0.04,0.43,Pin & decay day (IV crush)
2025-08-28T12:00:05.067584+05:30,24622.25,nan,0.931,24650,-27.8,195.5,0.14,-187.5,-0.96,24600,19.8,2.4,1.88,Pin & decay day (IV crush)
2025-08-28T12:04:00.803619+05:30,24621.85,nan,0.92,24650,-28.2,195.5,0.14,-112.5,-0.58,24600,19.08,-0.54,-0.29,Pin & decay day (IV crush)
2025-08-28T12:08:01.374930+05:30,24634.05,nan,0.899,24650,-16.0,195.5,0.08,-68.2,-0.35,24650,18.76,-0.59,-0.02,Pin & decay day (IV crush)
2025-08-28T12:12:02.552667+05:30,24628.2,nan,0.891,24650,-21.8,195.5,0.11,-40.9,-0.21,24650,19.98,-0.43,0.98,Pin & decay day (IV crush)
2025-08-28T12:16:02.883728+05:30,24627.9,nan,0.894,24650,-22.1,195.5,0.11,-23.6,-0.12,24650,17.05,-0.29,-1.63,Pin & decay day (IV crush)
2025-08-28T12:20:03.067127+05:30,24607.9,nan,0.904,24650,-42.1,195.5,0.22,-12.4,-0.06,24600,18.25,-0.2,0.94,Pin & decay day (IV crush)
2025-08-28T12:24:03.088769+05:30,24585.0,nan,0.886,24650,-65.0,195.5,0.33,-4.9,-0.03,24600,18.66,-0.51,0.41,Pin & decay day (IV crush)
2025-08-28T12:28:03.870783+05:30,24586.05,nan,0.803,24600,-14.0,195.5,0.07,-18.7,-0.1,24600,18.81,-1.19,0.23,Pin & decay day (IV crush)
2025-08-28T12:32:03.896752+05:30,24591.8,nan,0.8,24600,-8.2,195.5,0.04,-27.6,-0.14,24600,17.46,-0.22,-0.76,Pin & decay day (IV crush)
2025-08-28T12:36:04.885473+05:30,24594.75,nan,0.806,24600,-5.2,195.5,0.03,-33.1,-0.17,24600,17.34,-0.1,0.09,Pin & decay day (IV crush)
2025-08-28T12:40:05.536069+05:30,24590.25,nan,0.793,24600,-9.8,195.5,0.05,-36.4,-0.19,24600,17.13,-0.34,0.03,Pin & decay day (IV crush)
2025-08-28T12:44:05.241813+05:30,24585.7,nan,0.794,24600,-14.3,195.5,0.07,-38.2,-0.2,24600,17.09,-0.14,0.15,Pin & decay day (IV crush)
2025-08-28T12:48:06.126776+05:30,24592.35,nan,0.791,24600,-7.7,195.5,0.04,-38.9,-0.2,24600,16.48,-0.19,-0.27,Pin & decay day (IV crush)
2025-08-28T12:52:07.779645+05:30,24591.4,nan,0.783,24600,-8.6,195.5,0.04,-3.9,-0.02,24600,16.12,-0.26,-0.08,Pin & decay day (IV crush)
2025-08-28T12:56:07.050126+05:30,24595.0,nan,0.792,24600,-5.0,195.5,0.03,-11.8,-0.06,24600,16.56,-0.03,0.49,Pin & decay day (IV crush)
2025-08-28T13:00:08.163189+05:30,24575.55,nan,0.792,24600,-24.5,195.5,0.13,-19.7,-0.1,24600,17.81,-0.14,1.1,Pin & decay day (IV crush)
2025-08-28T13:04:09.229034+05:30,24561.05,nan,0.758,24600,-39.0,195.5,0.2,-27.6,-0.14,24550,18.6,-0.6,0.63,Pin & decay day (IV crush)
2025-08-28T13:08:08.869011+05:30,24545.75,nan,0.72,24600,-54.2,195.5,0.28,-35.5,-0.18,24550,18.18,-0.64,-0.37,Pin & decay day (IV crush)
2025-08-28T13:12:09.063706+05:30,24552.7,nan,0.701,24600,-47.3,195.5,0.24,-43.4,-0.22,24550,19.84,-0.32,1.32,Pin & decay day (IV crush)
2025-08-28T13:16:09.446201+05:30,24560.85,nan,0.712,24600,-39.2,195.5,0.2,-51.3,-0.26,24550,17.86,0.09,-1.61,Pin & decay day (IV crush)
2025-08-28T13:20:09.973162+05:30,24557.2,nan,0.722,24600,-42.8,195.5,0.22,-47.4,-0.24,24550,19.06,0.95,1.1,Pin & decay day (IV crush)
2025-08-28T13:24:10.426314+05:30,24549.95,nan,0.727,24600,-50.0,195.5,0.26,-42.3,-0.22,24550,19.73,0.69,0.56,Pin & decay day (IV crush)
2025-08-28T13:28:10.863458+05:30,24556.2,nan,0.721,24600,-43.8,195.5,0.22,-36.1,-0.18,24550,18.13,0.12,-1.33,Pin & decay day (IV crush)
2025-08-28T13:32:11.892296+05:30,24551.3,nan,0.723,24600,-48.7,195.5,0.25,-28.8,-0.15,24550,19.11,0.47,0.88,Pin & decay day (IV crush)
2025-08-28T13:36:12.013547+05:30,24537.95,nan,0.717,24600,-62.0,195.5,0.32,-20.3,-0.1,24550,18.74,0.12,-0.47,Pin & decay day (IV crush)
2025-08-28T13:40:11.890226+05:30,24556.05,nan,0.72,24600,-44.0,195.5,0.22,-10.7,-0.05,24550,19.04,0.6,0.28,Pin & decay day (IV crush)
2025-08-28T13:44:12.675614+05:30,24550.25,nan,0.722,24600,-49.8,195.5,0.25,-0.0,-0.0,24550,19.46,0.45,0.41,Pin & decay day (IV crush)
2025-08-28T13:48:13.385593+05:30,24549.9,nan,0.717,24600,-50.1,195.5,0.26,-0.0,-0.0,24550,17.84,-0.0,-1.58,Pin & decay day (IV crush)
2025-08-28T13:52:14.330021+05:30,24546.05,nan,0.719,24600,-54.0,195.5,0.28,-0.0,-0.0,24550,19.42,0.48,1.47,Pin & decay day (IV crush)
2025-08-28T13:56:14.656297+05:30,24535.9,nan,0.712,24600,-64.1,195.5,0.33,-0.0,-0.0,24550,20.44,-0.23,0.84,Pin & decay day (IV crush)
2025-08-28T14:00:14.825692+05:30,24541.1,nan,0.713,24600,-58.9,195.5,0.3,-0.0,-0.0,24550,18.73,0.45,-1.62,Pin & decay day (IV crush)
2025-08-28T14:04:15.645429+05:30,24539.7,nan,0.708,24600,-60.3,195.5,0.31,-0.0,-0.0,24550,19.56,-0.08,0.63,Pin & decay day (IV crush)
2025-08-28T14:08:15.709399+05:30,24549.65,nan,0.712,24600,-50.3,195.5,0.26,-0.0,-0.0,24550,16.58,0.63,-2.3,Pin & decay day (IV crush)
2025-08-28T14:12:16.653098+05:30,24581.45,nan,0.717,24600,-18.5,195.5,0.09,-0.0,-0.0,24600,20.49,0.6,2.38,Pin & decay day (IV crush)
2025-08-28T14:16:16.693734+05:30,24578.55,nan,0.726,24600,-21.5,195.5,0.11,-0.0,-0.0,24600,20.99,0.98,0.17,Pin & decay day (IV crush)
2025-08-28T14:20:17.941151+05:30,24575.05,nan,0.721,24600,-25.0,195.5,0.13,-0.0,-0.0,24600,17.25,-0.08,-2.11,Pin & decay day (IV crush)
2025-08-28T14:24:18.082374+05:30,24587.65,nan,0.728,24600,-12.3,195.5,0.06,-0.0,-0.0,24600,17.71,0.78,0.29,Pin & decay day (IV crush)
2025-08-28T14:28:17.959735+05:30,24549.65,nan,0.737,24600,-50.3,195.5,0.26,-0.0,-0.0,24550,17.27,1.13,-0.23,Pin & decay day (IV crush)
2025-08-28T14:32:18.089310+05:30,24564.75,nan,0.751,24600,-35.2,195.5,0.18,-0.0,-0.0,24550,17.45,1.8,0.18,Pin & decay day (IV crush)
2025-08-28T14:36:18.778309+05:30,24543.25,nan,0.755,24600,-56.8,195.5,0.29,-0.0,-0.0,24550,16.29,0.31,-0.65,Pin & decay day (IV crush)
2025-08-28T14:40:20.131474+05:30,24547.3,nan,0.738,24550,-2.7,195.5,0.01,-10.7,-0.05,24550,16.25,-2.52,0.06,Pin & decay day (IV crush)
2025-08-28T14:44:20.342652+05:30,24528.65,nan,0.727,24550,-21.3,195.5,0.11,-20.3,-0.1,24550,18.34,-1.56,1.27,Pin & decay day (IV crush)
2025-08-28T14:48:20.641353+05:30,24505.85,nan,0.7,24550,-44.2,208.2,0.21,-28.8,-0.14,24500,18.66,-2.71,0.18,Pin & decay day (IV crush)
2025-08-28T14:52:20.752596+05:30,24512.05,nan,0.68,24550,-38.0,208.9,0.18,-36.1,-0.17,24500,23.27,-1.79,2.27,Pin & decay day (IV crush)
2025-08-28T14:56:21.272654+05:30,24518.15,nan,0.693,24550,-31.8,208.9,0.15,-42.3,-0.2,24500,13.66,1.38,-3.24,Pin & decay day (IV crush)
2025-08-28T15:00:21.772675+05:30,24510.3,nan,0.701,24550,-39.7,208.9,0.19,-47.4,-0.23,24500,8.39,0.8,-1.53,Pin & decay day (IV crush)
2025-08-28T15:04:22.405831+05:30,24494.1,nan,0.694,24550,-55.9,209.8,0.27,-51.3,-0.24,24500,9.53,-0.57,0.53,Pin & decay day (IV crush)
2025-08-28T15:08:22.611575+05:30,24496.45,nan,0.695,24500,-3.5,211.6,0.02,-64.8,-0.31,24500,6.18,0.25,-0.88,Pin & decay day (IV crush)
2025-08-28T15:12:22.510692+05:30,24491.55,nan,0.659,24500,-8.5,221.1,0.04,-76.1,-0.34,24500,6.0,-2.51,0.16,Pin & decay day (IV crush)
2025-08-28T15:16:30.905326+05:30,24496.2,nan,0.675,24500,-3.8,221.1,0.02,-85.2,-0.39,24500,5.69,1.29,0.14,Pin & decay day (IV crush)
